[0, 0, 0, 0, 0, 0, 10, 10, 10], 100000
[1, 0, 0, 0, 0, 0, 10, 10, 10], 100000
[0, 1, 0, 0, 0, 0, 10, 10, 10], 100000
[1, 1, 0, 0, 0, 0, 10, 10, 10], 100000
[0, 0, 1, 0, 0, 0, 10, 10, 10], 100000
[1, 0, 1, 0, 0, 0, 10, 10, 10], 100000
[0, 1, 1, 0, 0, 0, 10, 10, 10], 100000
[1, 1, 1, 0, 0, 0, 10, 10, 10], 100000
[0, 0, 0, 1, 0, 0, 10, 10, 10], 100000
[1, 0, 0, 1, 0, 0, 10, 10, 10], 100000
[0, 1, 0, 1, 0, 0, 10, 10, 10], 100000
[1, 1, 0, 1, 0, 0, 10, 10, 10], 100000
[0, 0, 1, 1, 0, 0, 10, 10, 10], 100000
[1, 0, 1, 1, 0, 0, 10, 10, 10], 100000
[0, 1, 1, 1, 0, 0, 10, 10, 10], 100000
[1, 1, 1, 1, 0, 0, 10, 10, 10], 100000
[0, 0, 0, 0, 1, 0, 10, 10, 10], 100000
[1, 0, 0, 0, 1, 0, 10, 10, 10], 100000
[0, 1, 0, 0, 1, 0, 10, 10, 10], 100000
[1, 1, 0, 0, 1, 0, 10, 10, 10], 100000
[0, 0, 1, 0, 1, 0, 10, 10, 10], 100000
[1, 0, 1, 0, 1, 0, 10, 10, 10], 100000
[0, 1, 1, 0, 1, 0, 10, 10, 10], 100000
[1, 1, 1, 0, 1, 0, 10, 10, 10], 100000
[0, 0, 0, 1, 1, 0, 10, 10, 10], 100000
[1, 0, 0, 1, 1, 0, 10, 10, 10], 100000
[0, 1, 0, 1, 1, 0, 10, 10, 10], 100000
[1, 1, 0, 1, 1, 0, 10, 10, 10], 100000
[0, 0, 1, 1, 1, 0, 10, 10, 10], 100000
[1, 0, 1, 1, 1, 0, 10, 10, 10], 100000
[0, 1, 1, 1, 1, 0, 10, 10, 10], 100000
[1, 1, 1, 1, 1, 0, 10, 10, 10], 100000
[0, 0, 0, 0, 0, 1, 10, 10, 10], 100000
[1, 0, 0, 0, 0, 1, 10, 10, 10], 100000
[0, 1, 0, 0, 0, 1, 10, 10, 10], 100000
[1, 1, 0, 0, 0, 1, 10, 10, 10], 100000
[0, 0, 1, 0, 0, 1, 10, 10, 10], 100000
[1, 0, 1, 0, 0, 1, 10, 10, 10], 100000
[0, 1, 1, 0, 0, 1, 10, 10, 10], 100000
[1, 1, 1, 0, 0, 1, 10, 10, 10], 100000
[0, 0, 0, 1, 0, 1, 10, 10, 10], 100000
[1, 0, 0, 1, 0, 1, 10, 10, 10], 100000
[0, 1, 0, 1, 0, 1, 10, 10, 10], 100000
[1, 1, 0, 1, 0, 1, 10, 10, 10], 100000
[0, 0, 1, 1, 0, 1, 10, 10, 10], 100000
[1, 0, 1, 1, 0, 1, 10, 10, 10], 100000
[0, 1, 1, 1, 0, 1, 10, 10, 10], 100000
[1, 1, 1, 1, 0, 1, 10, 10, 10], 100000
[0, 0, 0, 0, 1, 1, 10, 10, 10], 100000
[1, 0, 0, 0, 1, 1, 10, 10, 10], 100000
[0, 1, 0, 0, 1, 1, 10, 10, 10], 100000
[1, 1, 0, 0, 1, 1, 10, 10, 10], 1.094492630907818
[0, 0, 1, 0, 1, 1, 10, 10, 10], 100000
[1, 0, 1, 0, 1, 1, 10, 10, 10], 100000
[0, 1, 1, 0, 1, 1, 10, 10, 10], 100000
[1, 1, 1, 0, 1, 1, 10, 10, 10], 1.9582293016171717
[0, 0, 0, 1, 1, 1, 10, 10, 10], 100000
[1, 0, 0, 1, 1, 1, 10, 10, 10], 100000
[0, 1, 0, 1, 1, 1, 10, 10, 10], 100000
[1, 1, 0, 1, 1, 1, 10, 10, 10], 100000
[0, 0, 1, 1, 1, 1, 10, 10, 10], 100000
[1, 0, 1, 1, 1, 1, 10, 10, 10], 100000
[0, 1, 1, 1, 1, 1, 10, 10, 10], 100000
[1, 1, 1, 1, 1, 1, 10, 10, 10], 100000
